file,class,method,variable,usage
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ProviderInvokeStaticsFilter,invoke/2[Invoker,Invocation],invoker,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ProviderInvokeStaticsFilter,invoke/2[Invoker,Invocation],version,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ProviderInvokeStaticsFilter,invoke/2[Invoker,Invocation],url,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ProviderInvokeStaticsFilter,invoke/2[Invoker,Invocation],group,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/StaticsFilterHelper.java,com.alibaba.boot.dubbo.listener.StaticsFilterHelper,getValue/2[com.alibaba.boot.dubbo.domain.ClassIdBean,java.lang.String],classIdBean,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/StaticsFilterHelper.java,com.alibaba.boot.dubbo.listener.StaticsFilterHelper,getValue/2[com.alibaba.boot.dubbo.domain.ClassIdBean,java.lang.String],methodCountMap,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/StaticsFilterHelper.java,com.alibaba.boot.dubbo.listener.StaticsFilterHelper,getValue/2[com.alibaba.boot.dubbo.domain.ClassIdBean,java.lang.String],count,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/StaticsFilterHelper.java,com.alibaba.boot.dubbo.listener.StaticsFilterHelper,getValue/2[com.alibaba.boot.dubbo.domain.ClassIdBean,java.lang.String],methodName,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/StaticsFilterHelper.java,com.alibaba.boot.dubbo.listener.StaticsFilterHelper,increase/2[com.alibaba.boot.dubbo.domain.ClassIdBean,java.lang.String],classIdBean,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/StaticsFilterHelper.java,com.alibaba.boot.dubbo.listener.StaticsFilterHelper,increase/2[com.alibaba.boot.dubbo.domain.ClassIdBean,java.lang.String],methodCountMap,8
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/StaticsFilterHelper.java,com.alibaba.boot.dubbo.listener.StaticsFilterHelper,increase/2[com.alibaba.boot.dubbo.domain.ClassIdBean,java.lang.String],count,6
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/StaticsFilterHelper.java,com.alibaba.boot.dubbo.listener.StaticsFilterHelper,increase/2[com.alibaba.boot.dubbo.domain.ClassIdBean,java.lang.String],methodName,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,exported/1[Exporter],anInterface,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,exported/1[Exporter],exporter,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,exported/1[Exporter],classIdBean,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,exported/1[Exporter],invoker,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,exported/1[Exporter],version,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,exported/1[Exporter],url,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,exported/1[Exporter],group,1
